Date,Euro,GBP,JPY,CNY,MSCI_USA,VIX,S&P,Natural_Gas,Brent_Oil,Heating_Oil,Crude_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,SHCOMP,BTC,ETH,XRP,LTC,DOGE,Euro_expected_return,Euro_abnormal_return,Euro_CAR,GBP_expected_return,GBP_abnormal_return,GBP_CAR,JPY_expected_return,JPY_abnormal_return,JPY_CAR,CNY_expected_return,CNY_abnormal_return,CNY_CAR,MSCI_USA_expected_return,MSCI_USA_abnormal_return,MSCI_USA_CAR,VIX_expected_return,VIX_abnormal_return,VIX_CAR,Natural_Gas_expected_return,Natural_Gas_abnormal_return,Natural_Gas_CAR,Brent_Oil_expected_return,Brent_Oil_abnormal_return,Brent_Oil_CAR,Heating_Oil_expected_return,Heating_Oil_abnormal_return,Heating_Oil_CAR,Crude_Oil_expected_return,Crude_Oil_abnormal_return,Crude_Oil_CAR,Silver_expected_return,Silver_abnormal_return,Silver_CAR,Gold_expected_return,Gold_abnormal_return,Gold_CAR,GSCI_Precious_Metal_expected_return,GSCI_Precious_Metal_abnormal_return,GSCI_Precious_Metal_CAR,CAC40_expected_return,CAC40_abnormal_return,CAC40_CAR,DAX_expected_return,DAX_abnormal_return,DAX_CAR,Dow_Jones_expected_return,Dow_Jones_abnormal_return,Dow_Jones_CAR,FTSE_100_expected_return,FTSE_100_abnormal_return,FTSE_100_CAR,FTSE_MIB_expected_return,FTSE_MIB_abnormal_return,FTSE_MIB_CAR,Nikkei_225_expected_return,Nikkei_225_abnormal_return,Nikkei_225_CAR,SHCOMP_expected_return,SHCOMP_abnormal_return,SHCOMP_CAR,BTC_expected_return,BTC_abnormal_return,BTC_CAR,ETH_expected_return,ETH_abnormal_return,ETH_CAR,XRP_expected_return,XRP_abnormal_return,XRP_CAR,LTC_expected_return,LTC_abnormal_return,LTC_CAR,DOGE_expected_return,DOGE_abnormal_return,DOGE_CAR,Aggregate_AR,Aggregate_CAR,CAR_days,Euro_AR_t_stat,Euro_AR_p_value,Euro_CAR_t_stat,Euro_CAR_p_value,GBP_AR_t_stat,GBP_AR_p_value,GBP_CAR_t_stat,GBP_CAR_p_value,JPY_AR_t_stat,JPY_AR_p_value,JPY_CAR_t_stat,JPY_CAR_p_value,CNY_AR_t_stat,CNY_AR_p_value,CNY_CAR_t_stat,CNY_CAR_p_value,MSCI_USA_AR_t_stat,MSCI_USA_AR_p_value,MSCI_USA_CAR_t_stat,MSCI_USA_CAR_p_value,VIX_AR_t_stat,VIX_AR_p_value,VIX_CAR_t_stat,VIX_CAR_p_value,Natural_Gas_AR_t_stat,Natural_Gas_AR_p_value,Natural_Gas_CAR_t_stat,Natural_Gas_CAR_p_value,Brent_Oil_AR_t_stat,Brent_Oil_AR_p_value,Brent_Oil_CAR_t_stat,Brent_Oil_CAR_p_value,Heating_Oil_AR_t_stat,Heating_Oil_AR_p_value,Heating_Oil_CAR_t_stat,Heating_Oil_CAR_p_value,Crude_Oil_AR_t_stat,Crude_Oil_AR_p_value,Crude_Oil_CAR_t_stat,Crude_Oil_CAR_p_value,Silver_AR_t_stat,Silver_AR_p_value,Silver_CAR_t_stat,Silver_CAR_p_value,Gold_AR_t_stat,Gold_AR_p_value,Gold_CAR_t_stat,Gold_CAR_p_value,GSCI_Precious_Metal_AR_t_stat,GSCI_Precious_Metal_AR_p_value,GSCI_Precious_Metal_CAR_t_stat,GSCI_Precious_Metal_CAR_p_value,CAC40_AR_t_stat,CAC40_AR_p_value,CAC40_CAR_t_stat,CAC40_CAR_p_value,DAX_AR_t_stat,DAX_AR_p_value,DAX_CAR_t_stat,DAX_CAR_p_value,Dow_Jones_AR_t_stat,Dow_Jones_AR_p_value,Dow_Jones_CAR_t_stat,Dow_Jones_CAR_p_value,FTSE_100_AR_t_stat,FTSE_100_AR_p_value,FTSE_100_CAR_t_stat,FTSE_100_CAR_p_value,FTSE_MIB_AR_t_stat,FTSE_MIB_AR_p_value,FTSE_MIB_CAR_t_stat,FTSE_MIB_CAR_p_value,Nikkei_225_AR_t_stat,Nikkei_225_AR_p_value,Nikkei_225_CAR_t_stat,Nikkei_225_CAR_p_value,SHCOMP_AR_t_stat,SHCOMP_AR_p_value,SHCOMP_CAR_t_stat,SHCOMP_CAR_p_value,BTC_AR_t_stat,BTC_AR_p_value,BTC_CAR_t_stat,BTC_CAR_p_value,ETH_AR_t_stat,ETH_AR_p_value,ETH_CAR_t_stat,ETH_CAR_p_value,XRP_AR_t_stat,XRP_AR_p_value,XRP_CAR_t_stat,XRP_CAR_p_value,LTC_AR_t_stat,LTC_AR_p_value,LTC_CAR_t_stat,LTC_CAR_p_value,DOGE_AR_t_stat,DOGE_AR_p_value,DOGE_CAR_t_stat,DOGE_CAR_p_value,Aggregate_AR_t,Aggregate_AR_p,Aggregate_CAR_t,Aggregate_CAR_p
2020-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.26,0.0,0.0,-3.49,-0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.63,-13.22,-6.56,-5.05,-4.06,0.007178720713187512,-0.007178720713187512,,0.03901035472812977,-0.03901035472812977,,-0.04376192544557476,0.04376192544557476,,-0.056396595750380536,0.056396595750380536,,0.014306009339633843,-0.014306009339633843,,-0.003812158745071903,0.003812158745071903,,0.3298837224209567,-14.589883722420957,,-0.033519006948756314,0.033519006948756314,,-0.0003567927609706257,0.0003567927609706257,,0.04307251179891762,-3.5330725117989177,,-0.16237730130316694,-0.46762269869683304,,-0.01094341972956968,0.01094341972956968,,-0.034915524246978885,0.034915524246978885,,-0.1032437843407579,0.1032437843407579,,-0.12196368334795543,0.12196368334795543,,-0.021194519255699443,0.021194519255699443,,-0.01495226473202365,0.01495226473202365,,-0.07471950578967355,0.07471950578967355,,0.03132770518827082,-0.03132770518827082,,-0.07421971387923917,0.07421971387923917,,0.5294668974946015,-4.159466897494601,,0.02612858978418945,-13.24612858978419,,-0.13493382082101146,-6.425066179178988,,0.1638907209274958,-5.213890720927496,,-0.20373085360731627,-3.8562691463926835,,-1.9611240139112014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-06,0.19,0.86,0.02,-0.16,-0.87,-8.48,-0.81,-0.78,-1.52,-0.04,1.16,1.25,0.88,0.0,1.79,2.25,0.0,2.39,1.79,-0.5,-1.87,0.78,-0.4,0.93,1.93,1.15,0.08578302716262463,0.10421697283737537,,0.22281361489366389,0.6371863851063361,,-0.057285341979654084,0.07728534197965409,,0.005138723506849754,-0.16513872350684977,,-0.8075081681134073,-0.062491831886592686,,2.088618857411289,-10.56861885741129,,1.0970929964227725,-1.8770929964227725,,-0.596657874922385,-0.923342125077615,,0.0014222696974712564,-0.04142226969747126,,-0.4553052123805159,1.6153052123805158,,-0.7922085765429963,2.042208576542996,,-0.18301844486774596,1.063018444867746,,-0.2315205635543803,0.2315205635543803,,-0.42161188186635756,2.2116118818663577,,-0.5246536997368025,2.7746536997368025,,-0.7134986533974091,0.7134986533974091,,-0.22085923482357347,2.6108592348235735,,-0.4350488957858753,2.2250488957858754,,0.07610130661112506,-0.576101306611125,,-0.10904515017369504,-1.760954849826305,,0.11959584509717036,0.6604041549028297,,-0.8753146161154131,0.47531461611541304,,-0.7461912252217949,1.676191225221795,,-0.43503297669492536,2.365032976694925,,-0.6278446350683059,1.777844635068306,,0.2802322504016258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-07,0.34,1.44,-0.23,0.2,-2.97,2.31,-2.78,13.81,-5.31,0.0,-5.13,-0.16,-0.42,0.52,-1.59,-0.8,-2.25,-0.12,-1.81,0.8,0.72,-2.41,-4.15,-2.3,-2.83,-2.46,0.276956463835947,0.063043536164053,,0.6698412970246541,0.7701587029753458,,-0.09017562663661244,-0.13982437336338757,,0.15479869750282957,0.04520130249717044,,-2.806241414511544,-0.163758585488456,,7.1776177485570045,-4.867617748557004,,2.9630217245506447,10.846978275449356,,-1.9662672204878768,-3.3437327795121226,,0.00574912530627435,-0.00574912530627435,,-1.667409060076175,-3.4625909399238246,,-2.3240204434843093,2.164020443484309,,-0.6015219010680017,0.18152190106800176,,-0.7096834369316405,1.2296834369316405,,-1.1959145388113346,-0.3940854611886655,,-1.504035591447949,0.704035591447949,,-2.3972506833469986,0.14725068334699865,,-0.7216453225770957,0.6016453225770957,,-1.3114055603445385,-0.4985944396554616,,0.18499512735559773,0.6150048726444023,,-0.19374405079107537,0.9137440507910753,,-0.8772510354249767,-1.5327489645750234,,-3.067713524290989,-1.0822864757090112,,-2.2328296038261692,-0.06717039617383058,,-1.8916745622704432,-0.9383254377295569,,-1.6593312393623176,-0.8006687606376823,,0.037889793521426844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-08,-0.21,-0.16,0.15,-0.19,2.11,-8.42,2.02,-0.66,2.54,-0.03,3.28,0.35,0.6,0.57,1.4,2.08,1.6,1.39,2.02,-1.04,-1.86,0.97,4.04,1.07,0.79,1.27,-0.1888468336421989,-0.021153166357801095,,-0.4193632076599923,0.2593632076599923,,-0.010036861990216438,0.16003686199021644,,-0.20985504624372026,0.019855046243720254,,2.063768525950922,0.0462314740490779,,-5.221973458295502,-3.1980265417044977,,-1.5834036028675218,0.9234036028675218,,1.3708519971336264,1.1691480028663737,,-0.004793467040047911,-0.025206532959952087,,1.2859404165426902,1.9940595834573096,,1.4083130394183827,-1.0583130394183828,,0.41818195160267235,0.18181804839732763,,0.4553834626677753,0.11461653733222466,,0.6907112243033303,0.7092887756966696,,0.8822756167822559,1.1977243832177442,,1.7052923337890578,-0.10529233378905767,,0.4985441298172733,0.8914558701827267,,0.8238797137070271,1.196120286292973,,-0.08032991811316814,-0.9596700818868319,,0.012628905027922382,-1.8726289050279226,,1.5516144602635038,-0.5816144602635038,,2.2741721402992474,1.7658278597007526,,1.3894364963266215,-0.3194364963266214,,1.6575029051216819,-0.8675029051216818,,0.853935613739843,0.41606438626015707,,0.07831421012917442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-09,-0.12,1.53,-0.04,0.04,-1.71,3.12,-1.76,-2.61,-1.79,0.03,-1.95,0.77,0.47,0.51,-0.38,-0.25,-1.45,-0.16,0.25,0.88,-0.61,1.13,4.79,1.71,1.75,0.87,0.17797326312184103,-0.297973263121841,,0.43838533977916677,1.0916146602208332,,-0.07314613914925329,0.03314613914925329,,0.07730977695668775,-0.03730977695668775,,-1.7713643021632703,0.06136430216327038,,4.542704617100847,-1.4227046171008473,,1.9969063424742846,-4.606906342474284,,-1.2571293867433075,-0.5328706132566925,,0.0035088244326808705,0.026491175567319128,,-1.0398222962946662,-0.9101777037053338,,-1.5308995783674872,2.3008995783674875,,-0.38483483237548355,0.8548348323754835,,-0.4621067207667646,0.9721067207667646,,-0.7950065641494684,0.41500656414946835,,-0.9969444596990307,0.7469444596990307,,-1.5254602922055869,0.07546029220558692,,-0.46235506394329234,0.30235506394329237,,-0.857657439608581,1.107657439608581,,0.12861355519348497,0.7513864448065151,,-0.14988979767953836,-0.4601102023204616,,-0.3611171175911747,1.4911171175911746,,-1.932562820565564,6.722562820565564,,-1.4630980575437014,3.1730980575437013,,-1.1374743504496168,2.887474350449617,,-1.1252620330781085,1.9952620330781086,,0.643874212819804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,-0.26,0.08,0.01,-0.01,0.02,-9.56,0.05,-1.93,-0.57,-0.02,-0.03,-1.6,-0.84,-0.92,0.2,-0.02,0.48,0.48,0.0,0.74,0.79,0.49,1.58,-0.23,0.53,-0.29,0.002326603031123492,-0.2623266030311235,,0.027664474470998034,0.05233552552900197,,-0.0429271466471748,0.0529271466471748,,-0.06019507224774043,0.050195072247740426,,0.06503527955278454,-0.04503527955278454,,-0.13297456714978553,-9.427025432850215,,0.2825251252603508,-2.212525125260351,,0.0012426515681343495,-0.5712426515681343,,-0.0004666114312448159,-0.019533388568755184,,0.0738365688470308,-0.1038365688470308,,-0.12349882752293057,-1.4765011724770696,,-0.0003215045975834916,-0.8396784954024165,,-0.02277941070948497,-0.8972205892905151,,-0.08359143264164681,0.2835914326416468,,-0.09710627492889079,0.07710627492889079,,0.02154030383946782,0.45845969616053217,,-0.00224195793624897,0.48224195793624897,,-0.05247695085163641,0.05247695085163641,,0.028563902631304507,0.7114360973686955,,-0.07206999558945795,0.862069995589458,,0.5547675797413565,-0.0647675797413565,,0.08177323212367107,1.498226767876329,,-0.09720188227775323,-0.13279811772224678,,0.20086131954616376,0.32913868045383626,,-0.17755099055416876,-0.11244900944583122,,-0.4328744005971785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-13,-0.18,-0.4,-0.4,-0.37,1.43,-3.8,1.27,-0.15,-0.55,0.01,-0.24,1.85,0.78,0.92,0.35,-0.12,1.18,-0.1,-0.14,0.65,0.57,3.38,3.01,1.5,1.92,0.26,-0.1160650684112386,-0.06393493158876139,,-0.24917500380301624,-0.15082499619698378,,-0.022558543966215816,-0.3774414560337842,,-0.15287789878332184,-0.21712210121667816,,1.3028294727536613,0.1271705272463386,,-3.284537332224798,-0.5154626677752017,,-0.8730246454584332,0.7230246454584331,,0.8494271193802664,-1.3994271193802663,,-0.0031461869859350576,0.013146186985935058,,0.8244795608209924,-1.0644795608209923,,0.8251359327148369,1.0248640672851632,,0.2588532246228795,0.5211467753771205,,0.27334175960536655,0.6466582403946335,,0.3959259488166639,-0.0459259488166639,,0.5094144904962863,-0.6294144904962863,,1.0642699873615489,0.11573001263845106,,0.30788952788065316,-0.40788952788065314,,0.4902413896364699,-0.6302413896364699,,-0.03887287975867349,0.6888728797586735,,-0.01961686931879602,0.589616869318796,,1.1721042265621788,2.207895773437821,,1.439502505207023,1.5704974947929768,,0.8234574181777478,0.6765425818222522,,1.1029439258416622,0.8170560741583377,,0.46123766794263044,-0.20123766794263043,,0.15457001041882928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-14,0.18,-0.32,-0.27,-0.41,0.62,-1.01,0.52,0.04,2.32,0.0,2.64,0.44,0.17,0.16,0.32,0.19,0.01,1.32,0.82,-0.44,0.51,1.03,-3.37,-0.97,-1.56,1.39,-0.0432833031802783,0.22328330318027828,,-0.07898679994604027,-0.24101320005395974,,-0.03508022594221519,-0.23491977405778483,,-0.09590075132292344,-0.3140992486770765,,0.541890419556401,0.07810958044359895,,-1.3471012061540937,0.33710120615409367,,-0.1626456880493447,0.2026456880493447,,0.32800224162690655,1.9919977583730932,,-0.001498906931822204,0.001498906931822204,,0.36301870509929474,2.2769812949007053,,0.24195882601129134,0.19804117398870866,,0.09952449764308668,0.07047550235691333,,0.09130005654295784,0.06869994345704217,,0.10114067332999746,0.21885932667000255,,0.13655336421031677,0.05344663578968323,,0.42324764093404005,-0.41324764093404004,,0.11723492594403301,1.202765074055967,,0.15660306556591275,0.6633969344340872,,0.0025841585958211837,-0.4425841585958212,,-0.05186264366551442,0.5618626436655144,,0.7925939928608536,0.2374060071391464,,0.6048328701147984,-3.9748328701147986,,0.2574783400288742,-1.2274783400288742,,0.5483849465616427,-2.108384946561643,,0.06853972214541779,1.321460277854582,,0.02890273378540711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-15,0.26,-0.61,-0.46,-0.4,-0.49,1.76,-0.46,-2.81,4.17,0.01,4.82,0.05,0.2,0.2,0.13,0.08,0.13,-0.44,0.04,0.09,-0.36,1.52,0.24,1.41,-1.21,-1.25,0.0518182033881765,0.2081817966118235,,0.1433924530937417,-0.7533924530937417,,-0.051441890390854374,-0.4085581096091456,,-0.021450611974669506,-0.3785493880253305,,-0.45240327662135255,-0.037596723378647445,,1.1844819985782935,0.5755180014217065,,0.765582816298531,-3.575582816298531,,-0.3533262653041504,4.52332626530415,,0.0006535390055519246,0.009346460994448075,,-0.23995681304372363,5.059956813043724,,-0.5200592600813416,0.5700592600813417,,-0.10866503894384262,0.3086650389438426,,-0.1465677687919229,0.3465677687919229,,-0.2840454199725799,0.41404541997257993,,-0.3506518408033501,0.4306518408033501,,-0.4143548917312382,0.5443548917312382,,-0.1318870872531507,-0.30811291274684927,,-0.27935101121961525,0.31935101121961523,,0.05675468871236088,0.033245311287639114,,-0.09399712214522646,-0.2660028778547735,,0.2967006208244555,1.2232993791755447,,-0.4858021197390416,0.7258021197390416,,-0.4820676554189873,1.8920676554189872,,-0.17623878636424956,-1.0337612136357504,,-0.4445855936962734,-0.8054144063037266,,0.3699026205228638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-16,-0.27,-0.05,-0.2,0.15,-0.89,1.61,-0.84,-3.27,2.56,0.02,2.0,-1.37,-1.06,-1.08,-0.69,-0.07,-0.47,-0.47,-1.12,-0.67,-0.41,-0.07,6.6,2.17,2.36,0.48,0.08869429777186304,-0.35869429777186307,,0.2296211430479429,-0.2796211430479429,,-0.05778620925869406,-0.14221379074130597,,0.0074178094052656865,0.14258219059473431,,-0.8379457302412977,-0.05205426975870231,,2.1661163024541166,-0.5561163024541165,,1.125508154719136,-4.395508154719136,,-0.6175148700325194,3.1775148700325193,,0.00148816089963577,0.01851183910036423,,-0.4737636466093838,2.4737636466093837,,-0.815535660811138,-0.5544643391888621,,-0.18939159394693766,-0.8706084060530623,,-0.23880223167687664,-0.8411977683231234,,-0.43340329288582424,-0.2565967071141757,,-0.5395681447882412,0.4695681447882412,,-0.7391395472545094,0.2691395472545094,,-0.22848541890103824,-0.24151458109896173,,-0.44839442874869756,-0.6716055712513025,,0.07775958814530484,-0.7477595881453049,,-0.11033498114756378,-0.2996650188524362,,0.10441543574911744,-0.17441543574911744,,-0.908701401519102,7.508701401519102,,-0.7688303883477499,2.93883038834775,,-0.45721533586612606,2.817215335866126,,-0.6435525529001943,1.1235525529001942,,0.40374402087475036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
