Date,EURO,GBP,JPY,CNY,MSCI_USA,VIX,S&P,Natural_Gas,Brent_Oil,Heating_Oil,Crude_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,SHCOMP,BTC,ETH,XRP,LTC,DOGE,EURO_expected_return,EURO_abnormal_return,EURO_CAR,GBP_expected_return,GBP_abnormal_return,GBP_CAR,JPY_expected_return,JPY_abnormal_return,JPY_CAR,CNY_expected_return,CNY_abnormal_return,CNY_CAR,MSCI_USA_expected_return,MSCI_USA_abnormal_return,MSCI_USA_CAR,VIX_expected_return,VIX_abnormal_return,VIX_CAR,Natural_Gas_expected_return,Natural_Gas_abnormal_return,Natural_Gas_CAR,Brent_Oil_expected_return,Brent_Oil_abnormal_return,Brent_Oil_CAR,Heating_Oil_expected_return,Heating_Oil_abnormal_return,Heating_Oil_CAR,Crude_Oil_expected_return,Crude_Oil_abnormal_return,Crude_Oil_CAR,Silver_expected_return,Silver_abnormal_return,Silver_CAR,Gold_expected_return,Gold_abnormal_return,Gold_CAR,GSCI_Precious_Metal_expected_return,GSCI_Precious_Metal_abnormal_return,GSCI_Precious_Metal_CAR,CAC40_expected_return,CAC40_abnormal_return,CAC40_CAR,DAX_expected_return,DAX_abnormal_return,DAX_CAR,Dow_Jones_expected_return,Dow_Jones_abnormal_return,Dow_Jones_CAR,FTSE_100_expected_return,FTSE_100_abnormal_return,FTSE_100_CAR,FTSE_MIB_expected_return,FTSE_MIB_abnormal_return,FTSE_MIB_CAR,Nikkei_225_expected_return,Nikkei_225_abnormal_return,Nikkei_225_CAR,SHCOMP_expected_return,SHCOMP_abnormal_return,SHCOMP_CAR,BTC_expected_return,BTC_abnormal_return,BTC_CAR,ETH_expected_return,ETH_abnormal_return,ETH_CAR,XRP_expected_return,XRP_abnormal_return,XRP_CAR,LTC_expected_return,LTC_abnormal_return,LTC_CAR,DOGE_expected_return,DOGE_abnormal_return,DOGE_CAR,Aggregate_AR,Aggregate_CAR,CAR_days,EURO_AR_t_stat,EURO_AR_p_value,EURO_CAR_t_stat,EURO_CAR_p_value,GBP_AR_t_stat,GBP_AR_p_value,GBP_CAR_t_stat,GBP_CAR_p_value,JPY_AR_t_stat,JPY_AR_p_value,JPY_CAR_t_stat,JPY_CAR_p_value,CNY_AR_t_stat,CNY_AR_p_value,CNY_CAR_t_stat,CNY_CAR_p_value,MSCI_USA_AR_t_stat,MSCI_USA_AR_p_value,MSCI_USA_CAR_t_stat,MSCI_USA_CAR_p_value,VIX_AR_t_stat,VIX_AR_p_value,VIX_CAR_t_stat,VIX_CAR_p_value,Natural_Gas_AR_t_stat,Natural_Gas_AR_p_value,Natural_Gas_CAR_t_stat,Natural_Gas_CAR_p_value,Brent_Oil_AR_t_stat,Brent_Oil_AR_p_value,Brent_Oil_CAR_t_stat,Brent_Oil_CAR_p_value,Heating_Oil_AR_t_stat,Heating_Oil_AR_p_value,Heating_Oil_CAR_t_stat,Heating_Oil_CAR_p_value,Crude_Oil_AR_t_stat,Crude_Oil_AR_p_value,Crude_Oil_CAR_t_stat,Crude_Oil_CAR_p_value,Silver_AR_t_stat,Silver_AR_p_value,Silver_CAR_t_stat,Silver_CAR_p_value,Gold_AR_t_stat,Gold_AR_p_value,Gold_CAR_t_stat,Gold_CAR_p_value,GSCI_Precious_Metal_AR_t_stat,GSCI_Precious_Metal_AR_p_value,GSCI_Precious_Metal_CAR_t_stat,GSCI_Precious_Metal_CAR_p_value,CAC40_AR_t_stat,CAC40_AR_p_value,CAC40_CAR_t_stat,CAC40_CAR_p_value,DAX_AR_t_stat,DAX_AR_p_value,DAX_CAR_t_stat,DAX_CAR_p_value,Dow_Jones_AR_t_stat,Dow_Jones_AR_p_value,Dow_Jones_CAR_t_stat,Dow_Jones_CAR_p_value,FTSE_100_AR_t_stat,FTSE_100_AR_p_value,FTSE_100_CAR_t_stat,FTSE_100_CAR_p_value,FTSE_MIB_AR_t_stat,FTSE_MIB_AR_p_value,FTSE_MIB_CAR_t_stat,FTSE_MIB_CAR_p_value,Nikkei_225_AR_t_stat,Nikkei_225_AR_p_value,Nikkei_225_CAR_t_stat,Nikkei_225_CAR_p_value,SHCOMP_AR_t_stat,SHCOMP_AR_p_value,SHCOMP_CAR_t_stat,SHCOMP_CAR_p_value,BTC_AR_t_stat,BTC_AR_p_value,BTC_CAR_t_stat,BTC_CAR_p_value,ETH_AR_t_stat,ETH_AR_p_value,ETH_CAR_t_stat,ETH_CAR_p_value,XRP_AR_t_stat,XRP_AR_p_value,XRP_CAR_t_stat,XRP_CAR_p_value,LTC_AR_t_stat,LTC_AR_p_value,LTC_CAR_t_stat,LTC_CAR_p_value,DOGE_AR_t_stat,DOGE_AR_p_value,DOGE_CAR_t_stat,DOGE_CAR_p_value,Aggregate_AR_t,Aggregate_AR_p,Aggregate_CAR_t,Aggregate_CAR_p
2024-09-09,0.13,-0.04,-0.52,0.1,0.45,-1.9,0.45,0.71,-3.69,-3.69,-369,-0.13,0.41,0.37,-0.24,-0.82,-0.23,-0.78,-1.12,-0.16,0.28,1.03,1.19,0.23,0.16,-0.93,0.015189745258542331,0.11481025474145767,,-0.061062863606249795,0.021062863606249795,,0.1971163518559061,-0.717116351855906,,0.0016701308595383126,0.0983298691404617,,0.45686152940164715,-0.006861529401647137,,-2.1704058406172697,0.2704058406172698,,0.19299825118808916,0.5170017488119107,,-0.18878491281073206,-3.501215087189268,,-0.21660011763565187,-3.473399882364348,,-21.660011763565194,-347.3399882364348,,0.7075036585450105,-0.8375036585450105,,0.28004868610410405,0.12995131389589593,,0.30538103779039366,0.06461896220960633,,0.2216878738797158,-0.46168787387971577,,0.3322782795464285,-1.1522782795464286,,0.3112867882393888,-0.5412867882393888,,0.03740157185815969,-0.8174015718581598,,0.24200437762807164,-1.3620043776280717,,0.1567237184491438,-0.3167237184491438,,0.6229567928395193,-0.3429567928395193,,0.9960850912176576,0.03391490878234238,,0.8521760427776403,0.3378239572223597,,0.09996586469708346,0.13003413530291655,,0.639390862678124,-0.4793908626781239,,1.7461071127641832,-2.6761071127641833,,-13.934921856513203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-10,0.06,0.27,-0.06,-0.02,1.09,-7.29,1.07,1.26,2.05,1.51,151,1.08,-0.02,0.07,-0.14,0.23,0.31,-0.15,-0.12,-1.49,-0.82,-0.51,-1.99,-1.11,1.07,-1.42,-0.07804405595721667,0.13804405595721667,,-0.23299740787053502,0.502997407870535,,0.20451994624684378,-0.2645199462468438,,-0.011066012944686234,-0.008933987055313767,,1.0792201456652408,0.010779854334759253,,-7.489445754551235,0.1994457545512347,,-0.33665015924170016,1.5966501592417002,,-0.6237570869048267,2.6737570869048266,,-0.7344947348635812,2.244494734863581,,-73.44947348635812,224.4494734863581,,1.0834627190511392,-0.0034627190511391515,,0.2897184367560671,-0.30971843675606714,,0.35340824883680544,-0.28340824883680543,,0.6461147335914585,-0.7861147335914586,,0.7089947440352553,-0.4789947440352553,,0.8061604895243999,-0.4961604895243999,,0.1601562567373092,-0.3101562567373092,,0.5409907813956524,-0.6609907813956524,,0.03259970979394228,-1.5225997097939423,,0.8234496619225686,-1.6434496619225687,,1.8409585995401774,-2.3509585995401774,,2.2201482190157624,-4.210148219015762,,1.0454990712786767,-2.155499071278677,,1.2732864490065647,-0.20328644900656467,,2.9797258955901404,-4.399725895590141,,8.143365945796303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,-0.55,-0.61,-0.39,-0.03,0.77,-3.5,0.75,2.17,1.93,1.36,136,4.08,1.51,1.72,0.52,0.95,0.58,0.57,0.84,3.41,-0.17,1.39,0.92,5.19,1.08,1.39,-0.029923384361986202,-0.5200766156380139,,-0.14425699792767813,-0.4657430020723219,,0.20069873623861786,-0.5906987362386179,,-0.004492519368312273,-0.025507480631687725,,0.758002795335644,0.011997204664356054,,-4.744134831230478,1.244134831230478,,-0.0632832377295508,2.233283237729551,,-0.39925531963045524,2.3292553196304553,,-0.46719428726206924,1.8271942872620692,,-46.71942872620693,182.71942872620693,,0.8894193329834599,3.1905806670165404,,0.28472759770989264,1.2252724022901074,,0.3286200108773671,1.3913799891226328,,0.4270557092241074,0.09294429077589261,,0.5145604397829576,0.43543956021704233,,0.5507418049902006,0.029258195009799315,,0.09679900002549009,0.4732009999745099,,0.38667521816077194,0.45332478183922803,,0.09666371426114306,3.313336285738857,,0.7199694714280915,-0.8899694714280916,,1.4048948533091994,-0.014894853309199485,,1.5140980635380221,-0.5940980635380221,,0.5574819323978543,4.632518067602146,,0.9461145334822081,0.13388546651779198,,2.3430194270348075,-0.9530194270348076,,7.757016410112988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12,-0.01,0.0,-0.68,-0.34,0.56,-2.99,0.54,-1.67,-0.5,-1.55,-155,3.21,1.16,1.34,0.41,0.99,0.72,0.39,0.34,-0.68,-0.48,4.09,3.32,1.82,3.27,4.19,0.0016558063723837724,-0.011655806372383773,,-0.08602110390267831,0.08602110390267831,,0.19819106717071963,-0.8781910671707197,,-0.00017866420881686336,-0.3398213357911832,,0.5472039091818462,0.012796090818153805,,-2.9425245378012326,-0.04747546219876764,,0.11611380451279718,-1.786113804512797,,-0.25192603485664905,-0.24807396514335095,,-0.2917783685235771,-1.258221631476423,,-29.177836852357714,-125.82216314764229,,0.7620783608765453,2.4479216391234546,,0.28145235958584064,0.8785476404141592,,0.3123527297164857,1.0276472702835144,,0.2832982244830333,0.12670177551696665,,0.38696292761738726,0.6030370723826127,,0.3831232932646324,0.33687670673536757,,0.05522080030835881,0.3347791996916412,,0.28540562978788175,0.05459437021211827,,0.13870571719274355,-0.8187057171927437,,0.652060596416091,-1.132060596416091,,1.1187280198451202,2.9712719801548797,,1.050752649005755,2.269247350994245,,0.23722068500731475,1.5827793149926852,,0.7314079639193491,2.538592036080651,,1.9251808070453706,2.2648191929546297,,-4.415648068833038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,-0.51,-0.7,-0.16,0.0,0.14,3.5,0.13,1.93,1.59,0.5,50,0.2,-0.06,-0.05,-0.21,-0.35,0.55,0.06,0.0,0.0,0.0,-1.56,-0.92,2.6,-1.0,-3.11,0.06331041685377278,-0.5733104168537728,,0.0276775463366071,-0.7276775463366071,,0.19329514184768018,-0.3532951418476802,,0.008243624435912271,-0.008243624435912271,,0.13564417907205054,0.0043558209279494775,,0.5749050827034858,2.925094917296514,,0.46636517270023853,1.4636348272997615,,0.03571685446363933,1.5542831455363608,,0.05070032996585999,0.44929967003414,,5.070032996585995,44.929967003414006,,0.5134602724773312,-0.31346027247733116,,0.27505784705792957,-0.33505784705792957,,0.28059279983095536,-0.33059279983095535,,0.0026288495123647365,-0.21262884951236471,,0.1378439752941308,-0.4878439752941308,,0.05586810370518953,0.4941318962948105,,-0.025955684853659403,0.0859556848536594,,0.08768881439319129,-0.08768881439319129,,0.22078772291634458,-0.22078772291634458,,0.5194766023450422,-0.5194766023450422,,0.5600213449866797,-2.1200213449866796,,0.14612588729989962,-1.0661258872998998,,-0.38805127418373886,2.988051274183739,,0.3122189471537674,-1.3122189471537675,,1.1094006442088502,-4.21940064420885,,1.6156516847265574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-16,0.18,0.42,1.28,0.0,0.02,2.74,0.03,-0.99,1.31,1.81,181,-0.5,-0.63,-0.62,0.51,0.55,-0.04,0.38,0.63,-1.03,0.0,3.6,2.01,-0.26,1.86,1.5,0.0783481267272823,0.1016518732727177,,0.05540892444374988,0.3645910755562501,,0.19210101372010957,1.0878989862798905,,0.010297841178529134,-0.010297841178529134,,0.03526375709405158,-0.015263757094051578,,1.432814746241222,1.3071852537587783,,0.5517923356727852,-1.5417923356727852,,0.10587365673688039,1.2041263432631197,,0.13423171984133245,1.6757682801586675,,13.423171984133242,167.57682801586677,,0.4528217143311813,-0.9528217143311812,,0.27349820985600004,-0.903498209856,,0.2728464754686309,-0.8928464754686309,,-0.06582709560243247,0.5758270956024325,,0.07708325521528776,0.4729167447847123,,-0.02395023521174775,-0.01604976478825225,,-0.04575482757610287,0.4257548275761029,,0.03946520088229118,0.5905347991177088,,0.24080772431234482,-1.2708077243123448,,0.4871390428155182,-0.4871390428155182,,0.4237514242894991,3.176248575710501,,-0.07451478628689431,2.0845147862868942,,-0.5405566300839959,0.2805566300839959,,0.20997772355240601,1.650022276447594,,0.9104298727853088,0.5895701272146912,,6.810518416363982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-17,-0.04,-0.39,-0.09,-0.17,-0.28,3.52,-0.29,-1.84,-0.07,0.42,42,-0.95,0.23,0.13,-0.57,-0.08,-0.25,-0.68,-0.37,0.49,0.49,2.4,1.3,0.22,1.61,2.57,0.12646879832251273,-0.16646879832251274,,0.14414933438660676,-0.5341493343866068,,0.18827980371188366,-0.27827980371188366,,0.016871334754903093,-0.1868713347549031,,-0.28595359323554503,0.005953593235545007,,4.178125669561977,-0.658125669561977,,0.8251592571849345,-2.6651592571849347,,0.33037542401125175,-0.40037542401125176,,0.4015321674428443,0.018467832557155672,,40.15321674428443,1.8467832557155717,,0.25877832826350194,-1.2087783282635018,,0.2685073708098255,-0.0385073708098255,,0.24805823750919254,-0.11805823750919253,,-0.2848861199697835,-0.2851138800302164,,-0.11735104903700992,0.03735104903700992,,-0.279368919745947,0.02936891974594702,,-0.10911208428792196,-0.5708879157120781,,-0.11485036235258916,-0.25514963764741083,,0.3048717287795456,0.1851282712204544,,0.38365885232104113,0.10634114767895886,,-0.012312321941478854,2.412312321941479,,-0.7805649417646349,2.080564941764635,,-1.0285737689648182,1.2485737689648182,,-0.11719419197195047,1.7271941919719507,,0.2737234042299761,2.2962765957700237,,0.1780150345268175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-18,-0.39,-0.53,0.25,-0.19,1.72,-10.42,1.7,1.17,1.67,1.09,109,2.42,0.62,0.77,2.29,1.48,1.26,0.91,1.16,2.13,0.69,1.91,3.89,0.24,0.95,1.18,-0.17278162816032658,-0.21721837183967344,,-0.4077050899455345,-0.12229491005446552,,0.21204295345053856,0.03795704654946144,,-0.024007578423172464,-0.16599242157682753,,1.711616804126634,0.008383195873366,,-12.89427663483897,2.4742766348389704,,-0.874841285968744,2.0448412859687437,,-1.0657449412262454,2.7357449412262453,,-1.2607424910790577,2.3507424910790577,,-126.07424910790576,235.07424910790576,,1.465485635371883,0.9545143646281169,,0.29954415112822314,0.32045584887177686,,0.40221009231944965,0.36778990768055037,,1.0773871878146806,1.2126128121853195,,1.0917872805319664,0.3882127194680336,,1.3090160247011047,-0.049016024701104666,,0.284890855888703,0.625109144111297,,0.8447995465143231,0.3152004534856768,,-0.09352629900085924,2.2235262990008593,,1.0271762869585703,-0.3371762869585704,,2.699459099932415,-0.7894590999324149,,3.610184462612564,0.27981553738743603,,2.0062828134502957,-1.7662828134502957,,1.9174061576951413,-0.9674061576951414,,4.233241755558452,-3.053241755558452,,9.382513228788223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-19,-0.01,-0.29,0.9,-0.24,-0.2,-1.1,-0.19,4.78,-0.52,-0.41,-41,0.25,1.22,1.12,-1.51,-0.76,0.09,-1.19,-0.83,1.53,0.03,0.42,3.95,-0.29,-0.15,0.55,0.11143108844900323,-0.12143108844900323,,0.116417956279464,-0.406417956279464,,0.18947393183945427,0.7105260681605458,,0.014817118012286232,-0.25481711801228624,,-0.1855731712575461,-0.014426828742453907,,3.3202160060242414,-4.4202160060242415,,0.7397320942123878,4.040267905787612,,0.2602186217380107,-0.7802186217380107,,0.3180007775673719,-0.7280007775673718,,31.80007775673718,-72.80007775673718,,0.3194168864096517,-0.06941688640965171,,0.27006700801175504,0.9499329919882449,,0.255804561871517,0.8641954381284831,,-0.2164301748549863,-1.2935698251450136,,-0.0565903289581669,-0.7034096710418332,,-0.19955058082900975,0.28955058082900975,,-0.0893129415654785,-1.1006870584345214,,-0.06662674884168907,-0.7633732511583109,,0.28485172738354536,1.2451482726164547,,0.4159964118505652,-0.3859964118505652,,0.12395759875570173,0.29604240124429826,,-0.5599242681778409,4.509924268177841,,-0.8760684130645613,0.5860684130645613,,-0.014952968370589098,-0.1350470316294109,,0.47269417565351757,0.07730582434648248,,-2.7080055432644534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22,0.45,-0.19,-0.22,0.0,0.28,-1.61,0.28,4.97,-0.79,-0.59,-59,-1.34,0.24,0.1,0.1,0.76,0.15,0.36,-0.24,0.0,0.44,-0.38,2.53,-0.4,-2.56,1.59,0.04075385204350851,0.4092461479564915,,-0.013919520824107079,-0.17608047917589292,,0.19508633403903605,-0.41508633403903605,,0.005162299321986978,-0.005162299321986978,,0.28621481203904897,-0.006214812039048945,,-0.7119594126031186,-0.8980405873968815,,0.3382244282414185,4.631775571758581,,-0.06951834894622227,-0.7204816510537777,,-0.07459675484734873,-0.5154032451526512,,-7.459675484734875,-51.54032451526513,,0.6044181096965558,-1.944418109696556,,0.2773973028608238,-0.03739730286082382,,0.2922122863744421,-0.19221228637444207,,0.10531276718456056,-0.005312767184560557,,0.2289850554123954,0.5310149445876047,,0.17559561208059543,-0.025595612080595437,,0.003743029230005801,0.3562569707699942,,0.16002423465954146,-0.40002423465954146,,0.1907577208223442,-0.1907577208223442,,0.5679829416393284,-0.12798294163932838,,0.7644262260324506,-1.1444262260324507,,0.4770868976800906,2.052913102319909,,-0.1592932403333534,-0.24070675966664662,,0.46558078255580954,-3.0255807825558096,,1.4078568013441626,0.1821431986558375,,-2.0556868742680416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
