Date,EURO,GBP,JPY,CNY,MSCI_USA,VIX,S&P,MSCI,Natural_Gas,Brent_Oil,Heating_Oil,Crude_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,SHCOMP,BTC,ETH,XRP,LTC,DOGE
13-Oct-24,0.26,0.07,0.42,0.29,0.76,-3.71,0.77,0.58,-3.84,-2,-2.88,-288,-1.38,-0.4,-0.49,0.32,0.73,0.47,0.47,1.09,0,2.07,5.11,6.55,3.09,3.14,4.77
14-Oct-24,0.16,-0.1,-0.37,0.46,-0.76,4.77,-0.76,-0.67,0.48,-4.14,-3.82,-382,1.41,0.5,0.58,-1.05,0.08,-0.75,-0.52,-0.29,0.77,-2.53,1.51,-0.86,-1.23,6.05,0.66
15-Oct-24,0.27,0.64,0.29,0,0.47,-5.14,0.47,0.18,-3.5,-0.04,-0.57,-57,0.69,0.46,0.48,-0.4,-0.34,0.79,0.97,0.24,-1.83,0.05,0.81,0.12,1.21,-1.1,7.05
16-Oct-24,0.28,-0.17,0.39,0.06,-0.01,-2.4,-0.02,0.07,-0.39,0.31,0.79,79,-0.63,0.6,0.49,1.22,0.66,0.37,0.67,1.09,-0.69,-1.05,-0.3,-0.21,-0.78,3.84,3.08
17-Oct-24,-0.32,-0.33,-0.45,-0.31,0.41,-5.65,0.40,0.41,-2.3,-1.87,-1.94,-194,4.59,0.83,1.16,0.39,0.36,0.09,-0.32,0.47,0.18,2.91,1.49,1.39,0.46,0.37,5.78
20-Oct-24,0.48,0.54,0.88,0.25,-0.2,1.89,-0.18,-0.34,1.52,1.68,1.52,152,2.54,0.32,0.53,-1.01,-1.04,-0.8,-0.48,-0.71,-0.07,0.2,-2.4,-2.93,-0.57,-4.78,0.96
21-Oct-24,0.13,0.01,0.15,0.06,-0.07,-0.93,-0.05,-0.24,3.14,2.36,2.38,238,2.83,0.76,0.95,-0.01,-0.11,-0.02,-0.14,-0.64,-1.39,0.54,0.08,-1.68,-2.04,-0.97,-2.79
22-Oct-24,0.16,0.48,1.12,0.03,-0.92,5.71,-0.92,-0.9,0.21,-1.42,-0.71,-71,-3.43,-1.1,-1.32,-0.5,-0.29,-0.96,-0.58,-0.1,-0.8,0.52,-1.13,-3.65,-1.5,0.05,0.3
23-Oct-24,-0.41,-0.41,-0.61,-0.08,0.25,-0.83,0.21,0.26,4.03,-0.77,-0.82,-82,-0.13,0.71,0.64,0.08,0.32,-0.33,0.13,0,0.1,-0.68,2.29,0.39,1.18,1.54,1.3
24-Oct-24,0.29,0.08,0.32,0.01,-0.05,6.55,-0.03,-0.04,2.45,2.25,1.64,164,-0.05,0.21,0.18,-0.08,-0.05,-0.61,-0.25,0.22,-0.6,0.59,-2.19,-3.73,-5.58,-3.24,-7.13
27-Oct-24,-0.15,-0.06,0.64,0.08,0.28,-2.61,0.27,0.29,-7.41,-6.09,-4.86,-486,0.66,0.05,0.1,0.79,0.41,0.65,0.45,0.69,1.82,0.68,2.87,2.39,0.51,-0.4,11.79
28-Oct-24,-0.05,-0.32,0.05,0.07,0.17,-2.32,0.16,0.03,-0.14,-0.42,0.18,18,1.29,0.92,0.95,-0.61,-0.23,-0.36,-0.8,-0.26,0.77,-1.08,3.97,2.77,1.72,4.5,9.14
29-Oct-24,-0.35,0.4,0.04,-0.21,-0.32,5.22,-0.33,-0.31,8.46,2.01,2.56,256,-0.6,1.16,0.55,-1.1,-1.12,-0.22,-0.73,-1.21,0.96,-0.61,-0.53,0.76,-1.01,-2.99,-4.39
30-Oct-24,-0.25,0.49,-0.9,0.04,-1.83,13.81,-1.86,-1.6,-4.29,0.84,1.65,165,-3.74,-1.84,-2.01,-1.05,-1.09,-0.9,-0.61,-0.64,-0.5,0.42,-2.86,-5.25,-2.59,-3.44,-3.98
31-Oct-24,0.46,-0.22,0.62,0.05,0.42,-5.53,0.41,0.35,-1.08,-0.08,0.34,34,-0.35,0,-0.03,0.8,1,0.69,0.83,1.15,-2.63,-0.24,-1.1,-0.28,0.69,1.36,-1.52
3-Nov-24,-0.4,-0.23,-0.56,-0.31,-0.26,0.46,-0.28,-0.11,3.41,2.71,2.23,223,-0.22,-0.11,-0.12,-0.5,-0.49,-0.61,0.09,-0.39,0,1.17,-1.34,-2.39,0.17,-1.93,4.68
4-Nov-24,-0.5,-0.65,-0.35,0.07,1.25,-6.78,1.23,1.01,-3.29,0.6,0.9,90,0.52,0.13,0.16,0.48,0.47,1.02,-0.14,-0.2,1.11,2.32,2.25,0.98,2.09,-0.23,7.33
5-Nov-24,1.89,1.27,2,1.03,2.59,-20.6,2.53,1.6,2.42,-0.81,-1.37,-137,-4.4,-2.67,-2.82,-0.51,-1.14,3.57,-0.07,-1.54,2.61,-0.09,8.96,12.36,5.41,8.61,15.57
6-Nov-24,-0.71,-0.82,-1.1,-0.52,0.76,-6.58,0.74,0.94,-1.96,0.95,0.66,66,1.68,1.1,1.35,0.76,1.71,0,-0.32,0.12,-0.25,2.57,0.37,6.33,2.48,0.57,-1.65
7-Nov-24,0.81,0.48,-0.2,0.52,0.4,-1.71,0.38,0.1,-0.88,-2.33,-2.02,-202,-1.27,-0.41,-0.29,-1.17,-0.85,0.59,-0.84,-0.48,0.3,-0.53,0.85,2.32,-0.3,1.88,4.56
10-Nov-24,0.58,0.43,0.71,0.49,0.21,0.2,0.10,0.11,6.98,-2.76,-1.91,-191,-2.65,-2.86,-2.66,1.2,1.27,0.69,0.65,1.56,0.08,0.51,10.29,5.84,5.49,4.54,26.24
11-Nov-24,0.32,0.95,0.58,0.25,-0.29,-1.74,-0.29,-0.58,0.22,0.08,0.56,56,0.48,-0.44,-0.16,-2.69,-2.11,-0.86,-1.22,-2.15,-0.4,-1.39,-0.82,-3.85,13.38,-4.21,8.45
12-Nov-24,0.55,0.29,0.55,-0.1,-0.01,-4.69,0.02,-0.16,2.2,0.54,0.42,42,-0.32,-0.76,-0.53,-0.14,-0.36,0.11,0.06,0.3,-1.66,0.51,2.82,-1.71,-1.9,-1.62,5.1
13-Nov-24,0.33,0.36,0.51,0.04,-0.64,2.07,-0.60,-0.38,-4.62,0.39,-0.31,-31,-0.3,-0.53,-0.51,1.32,1.43,-0.47,0.51,1.93,-0.48,-1.73,-3.46,-4.04,11.93,9.09,-9.29
