Date,Date,Euro,GBP,JPY,CNY,MSCI,Natural_Gas,Brent_Oil,Heating_Oil,Crude_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,SHCOMP,BTC,ETH,XRP,LTC,DOGE,,,,,,,,,,,,,,,,
5-Oct-20,5-Oct-20,0.42,0.78,-0.09,0,-0.87,-2.06,3.29,0.04,3.62,-2.60,-0.59,-0.79,0.48,0.62,-1.34,0.12,0.85,0.52,0.00,-1.73,-3.59,-1.85,-0.77,-0.72,,,,,,,,,,,,,,,,
6-Oct-20,6-Oct-20,-0.23,-0.31,0.32,0,1.13,1.71,-1.55,0.05,-1.71,-0.10,-0.94,-0.86,-0.27,0.00,1.91,-0.06,0.03,-0.05,0.00,0.64,0.26,1.24,1.34,-0.28,,,,,,,,,,,,,,,,
7-Oct-20,7-Oct-20,0.02,-0.12,0.05,0,0.75,0.00,3.22,-0.02,3.08,-0.08,0.22,0.20,0.61,1.10,0.43,0.53,0.76,0.96,0.00,2.37,2.74,0.97,1.23,0.55,,,,,,,,,,,,,,,,
8-Oct-20,8-Oct-20,-0.56,-0.87,-0.40,-1.42,0.84,1.75,-1.13,0.03,-1.35,5.16,1.63,1.99,0.71,-0.14,0.57,0.65,0.07,-0.12,1.68,1.19,4.12,0.71,1.3,1.84,,,,,,,,,,,,,,,,
11-Oct-20,11-Oct-20,0.11,-0.12,-0.27,0.77,1.23,2.09,-2.64,0.00,-2.88,0.65,0.12,0.19,0.66,0.79,0.88,-0.25,0.63,-0.26,2.64,1.43,3.34,0.27,0.3,-0.55,,,,,,,,,,,,,,,,
12-Oct-20,12-Oct-20,0.57,0.99,0.16,0,-0.55,-0.73,1.75,-0.03,1.91,-4.52,-1.77,-2.06,-0.64,-1.07,-0.55,-0.53,-0.81,0.18,0.04,-0.95,-1.41,0.19,-1.41,-1.11,,,,,,,,,,,,,,,,
13-Oct-20,13-Oct-20,0.00,-0.61,-0.30,-0.47,-0.43,-1.79,2.05,0.01,2.10,1.10,0.68,0.71,-0.12,0.25,-0.58,-0.58,0.25,0.11,-0.56,-0.03,-0.55,-2.9,-0.15,0.05,,,,,,,,,,,,,,,,
14-Oct-20,14-Oct-20,0.33,0.77,0.28,0.14,-0.72,2.26,-0.37,0.02,-0.24,-0.70,0.09,0.00,-2.11,-2.68,-0.07,-1.73,-2.77,-0.51,-0.26,0.72,-0.45,-1.31,-0.53,-1.44,,,,,,,,,,,,,,,,
15-Oct-20,15-Oct-20,-0.09,-0.01,-0.04,-0.4,0.17,0.31,-0.53,0.00,-0.29,0.75,-0.13,-0.04,2.03,1.87,0.39,1.49,1.7,-0.41,0.13,-1.57,-3.25,-2.3,-3.97,0.13,,,,,,,,,,,,,,,,
18-Oct-20,18-Oct-20,-0.40,-0.26,0.02,-0.24,-0.92,0.28,-0.72,-0.01,-0.15,1.20,0.28,0.37,0.14,-0.44,-1.44,-0.59,-0.08,1.11,-0.71,2.14,0.37,1.34,1,-0.04,,,,,,,,,,,,,,,,
19-Oct-20,19-Oct-20,-0.48,0.04,0.07,-0.07,0.21,-0.61,1.27,-0.02,1.56,1.14,0.20,0.29,-0.27,-0.82,0.40,0.08,0.56,-0.44,0.47,1.36,-2.86,-0.95,-2.28,0.13,,,,,,,,,,,,,,,,
20-Oct-20,20-Oct-20,-0.32,-1.57,-0.88,-0.38,-0.20,2.70,-3.31,0.01,-3.33,1.04,0.74,0.77,-1.53,-1.60,-0.35,-1.91,-2.03,0.31,-0.09,7.51,6.2,3.2,13.02,1.09,,,,,,,,,,,,,,,,
21-Oct-20,21-Oct-20,0.36,0.51,0.25,0.48,0.13,-2.27,1.75,-0.03,1.56,-2.11,-1.25,-1.37,-0.05,-0.12,0.54,0.16,-0.05,-0.7,-0.38,1.3,5.84,2.45,2.52,0.89,,,,,,,,,,,,,,,,
22-Oct-20,22-Oct-20,-0.35,0.31,-0.12,0.03,0.39,-2.35,-1.63,0.02,-1.93,-0.14,0.04,0.01,1.20,0.71,-0.10,1.29,1.09,0.18,-1.04,-0.31,-1.33,-0.96,2,-0.1,,,,,,,,,,,,,,,,
25-Oct-20,25-Oct-20,0.44,0.16,0.12,0.41,-1.66,1.82,-3.14,-0.01,-3.14,-1.03,0.04,-0.08,-1.90,-3.52,-2.29,-1.16,-1.76,-0.09,-0.82,0.23,-2.95,-1.98,-3.44,0.5,,,,,,,,,,,,,,,,
26-Oct-20,26-Oct-20,0.12,-0.17,-0.40,-0.11,-0.35,1.78,1.83,-0.03,2.52,0.61,0.32,0.35,-1.77,-0.87,-0.80,-1.09,-1.53,-0.04,0.10,4.56,2.29,1.8,1.82,0.35,,,,,,,,,,,,,,,,
27-Oct-20,27-Oct-20,0.44,0.47,-0.11,0.35,-3.15,-0.60,-5.05,0.03,-5.39,-4.93,-1.71,-2.04,-3.37,-4.54,-3.43,-2.55,-4.06,-0.29,0.46,-2.77,-3.72,-2.83,-3.5,-3.42,,,,,,,,,,,,,,,,
28-Oct-20,28-Oct-20,0.60,0.44,0.31,-0.21,0.51,3.83,-3.76,-0.04,-3.21,0.21,-0.45,-0.54,-0.03,0.43,0.52,-0.02,-0.14,-0.37,0.11,1.34,-0.35,-1.23,-1.61,-0.27,,,,,,,,,,,,,,,,
29-Oct-20,29-Oct-20,0.21,-0.13,0.03,-0.33,-1.10,1.52,-0.50,-0.02,-0.99,1.22,0.64,0.70,0.54,-0.03,-0.59,-0.08,0.4,-1.52,-1.47,0.76,-1.13,-1.45,-1.66,0.3,,,,,,,,,,,,,,,,
1-Nov-20,1-Nov-20,0.07,0.18,0.07,-0.03,1.27,-2.71,4.03,0.00,2.85,1.60,0.67,0.77,2.11,1.73,1.60,1.39,2.55,1.39,0.02,-1.44,-3.22,-1.93,-3.27,-2.4,,,,,,,,,,,,,,,,
2-Nov-20,2-Nov-20,-0.64,-1.07,-0.24,-0.21,2.03,-5.33,1.90,0.03,2.18,1.25,0.95,0.98,2.44,2.61,2.06,2.33,3.19,0,1.42,3.38,1.14,1.82,0.14,0.1,,,,,,,,,,,,,,,,
3-Nov-20,3-Nov-20,-0.08,0.55,0.02,-0.42,2.00,-0.56,3.83,0.01,3.90,-1.81,-0.74,-0.85,2.44,1.94,1.34,1.67,1.96,1.72,0.19,0.9,3.68,-0.85,1.33,1.17,,,,,,,,,,,,,,,,
4-Nov-20,4-Nov-20,-0.86,-1.20,-0.97,-0.68,2.07,-2.93,-0.73,0.04,-0.91,5.43,2.67,2.94,1.24,2.06,1.95,0.39,1.93,1.73,1.30,10.19,3.59,3.37,7.98,3.64,,,,,,,,,,,,,,,,
5-Nov-20,5-Nov-20,-0.40,-0.09,-0.14,0.08,0.14,-1.72,-3.62,0.00,-4.14,1.86,0.25,0.50,-0.46,-0.71,-0.24,0.07,-0.25,0.91,-0.24,-0.06,9.38,5.29,7.07,4.46,,,,,,,,,,,,,,,,
8-Nov-20,8-Nov-20,0.52,-0.04,1.96,0.3,1.30,-1.06,7.48,-0.02,8.35,-7.65,-4.99,-5.20,7.57,5.16,2.95,4.67,5.43,2.12,1.86,-1.01,-2.28,-1.33,-2.94,-1.26,,,,,,,,,,,,,,,,
9-Nov-20,9-Nov-20,-0.02,-0.84,-0.08,-0.2,0.20,2.47,2.85,0.07,2.58,3.23,1.19,1.47,1.55,0.63,0.90,1.79,0.49,0.26,-0.40,-0.15,1.33,1.32,-2.34,3.25,,,,,,,,,,,,,,,,
10-Nov-20,10-Nov-20,0.33,0.39,0.13,0.23,0.84,2.54,0.44,0.03,0.17,-0.80,-0.79,-0.72,0.48,0.23,-0.08,1.35,0.68,1.78,-0.53,2.56,2.91,0.77,2.55,-0.09,,,,,,,,,,,,,,,,
